id,gender,shared_account,membership_tier,membership_auto_renew,membership_fee,push_notification_enabled,have_app,app_engagement_score,bought_store_brand,promotion_participation_count,average_basket_size,use_count,reward_points_used,membership_duration_days,user_cluster,user_segment
1,1,0,1,1,-0.8360681198264284,1,1,1.0083515479577223,0,-0.4993767307351387,-0.1797513174122355,1.041998445955765,0.3018034068704019,-0.46246485966616496,1,Regular Members
2,0,0,1,0,-0.8360681198264284,1,1,0.9819203973479383,1,0.015605522835473088,-1.0935448015516909,1.041998445955765,1.1967089914982143,3.1006421614267614,1,Regular Members
3,0,0,1,0,-0.8360681198264284,0,0,-1.592965414381937,0,1.0455700299766968,0.8183907063009157,-1.6613461183683491,-0.12434210961903253,0.999501426222583,2,Value Seekers
4,1,0,1,1,-0.8360681198264284,0,1,-0.01600920765169222,1,-0.4993767307351387,-0.8540810263002288,0.2696142847203038,-0.5504876261084669,-0.8111054683836725,1,Regular Members
5,0,1,0,1,1.1960747889868169,1,1,0.5836091044377066,0,-1.0143589843057506,0.2934612755787947,-1.6613461183683491,0.5787979925885343,2.6892462431401025,3,High Spenders
6,0,1,0,1,1.1960747889868169,1,1,0.2313986556143079,1,1.5605522835473085,1.9447312213611225,0.2696142847203038,-0.23087848874139114,-0.7437016173649543,0,Low Engagement
7,0,1,1,0,-0.8360681198264284,1,1,-0.021848647902691132,1,0.015605522835473088,-0.24995357326821796,-0.888961957132888,-1.9780751063480722,0.829829663313396,2,Value Seekers
8,1,0,0,1,1.1960747889868169,1,1,0.45821480852152285,0,0.015605522835473088,-0.7254592047671069,0.6558063653380343,0.25918885522145846,-1.1039635797063787,3,High Spenders
9,0,0,1,1,-0.8360681198264284,0,1,0.4161093709222163,1,0.015605522835473088,0.6116291879230695,0.6558063653380343,-0.8274822118265993,0.9971771554977996,1,Regular Members
10,0,0,0,1,1.1960747889868169,1,1,1.3267547111174443,1,-1.5293412378763624,-0.4206967483149292,1.8143826071912261,1.0901726123758557,1.6874855607584645,3,High Spenders
11,1,1,0,0,1.1960747889868169,1,1,0.757870295085933,0,1.5605522835473085,-0.12140230676610718,1.4281905265734955,-0.017805730496673923,-0.5252201692353163,3,High Spenders
12,1,0,1,1,-0.8360681198264284,0,0,-1.592965414381937,0,-0.4993767307351387,0.6718831844064955,-0.11657779589742681,-1.9780751063480722,-1.045856811586794,2,Value Seekers
13,1,0,0,1,1.1960747889868169,0,0,-1.592965414381937,1,-0.4993767307351387,-0.4808096347363335,1.041998445955765,-1.381471383262864,-1.1016393089815952,2,Value Seekers
14,1,0,1,1,-0.8360681198264284,1,1,-0.07655498288573198,1,-1.0143589843057506,-0.5144996620441041,0.6558063653380343,-0.5931021777574104,0.8856121607081973,1,Regular Members
15,1,1,1,1,-0.8360681198264284,1,1,0.2980912100599254,0,-0.4993767307351387,3.7509752927591946,-0.888961957132888,0.38703251016828877,-1.031911187238094,0,Low Engagement
16,0,1,1,1,-0.8360681198264284,1,1,1.029250597277086,1,1.0455700299766968,3.7509752927591946,2.586766768426687,-0.4226439711616366,-0.9133733802741413,0,Low Engagement
17,0,0,1,0,-0.8360681198264284,1,1,1.3267547111174443,1,0.5305877764060849,-0.7248242094880076,2.2005746878089565,-0.8914040393000144,-0.48338329618921544,1,Regular Members
18,0,0,1,0,-0.8360681198264284,1,1,-0.17275207754692218,1,1.5605522835473085,0.0075017348910588555,1.4281905265734955,-0.6570240052308255,1.6410001462627968,1,Regular Members
19,1,0,1,1,-0.8360681198264284,0,1,-0.3082885591622094,0,-0.4993767307351387,-0.5412752963127928,-0.11657779589742681,-1.2110131766670902,-1.045856811586794,2,Value Seekers
20,0,0,0,0,1.1960747889868169,0,0,-1.592965414381937,0,0.5305877764060849,0.5072077420267336,-0.5027698765151575,-0.9340185909489579,-0.05804175355385631,2,Value Seekers
21,1,0,1,1,-0.8360681198264284,0,1,1.3267547111174443,1,0.015605522835473088,-0.18518405480008526,-0.888961957132888,0.4296470618172322,-0.08128446080169013,1,Regular Members
22,1,1,1,1,-0.8360681198264284,0,1,0.7378932626483059,1,1.0455700299766968,-0.2963082286424697,1.041998445955765,0.9410216816045536,-0.2695503895091442,1,Regular Members
23,0,0,1,1,-0.8360681198264284,1,1,0.15825198299653384,1,0.5305877764060849,-1.0974606057728034,-0.5027698765151575,0.0035015453277977993,-1.178340242899447,1,Regular Members
24,1,0,1,0,-0.8360681198264284,1,1,0.804893156054502,0,-0.4993767307351387,-0.1654992011480058,-0.888961957132888,0.685334371710893,-0.7994841147597556,1,Regular Members
25,1,0,0,1,1.1960747889868169,0,0,-1.592965414381937,1,-0.4993767307351387,-0.05610362556539178,-0.11657779589742681,-0.9766331425979013,0.5509171763393901,2,Value Seekers
26,0,0,1,1,-0.8360681198264284,1,1,-0.6568109404586617,1,-0.4993767307351387,-0.46020756568111054,-0.11657779589742681,-0.699638556879769,-0.8529423414297733,2,Value Seekers
27,1,1,1,0,-0.8360681198264284,0,0,-1.592965414381937,0,0.015605522835473088,-0.5325264724674242,-2.819922360221541,-0.997940418422373,0.5485929056146067,2,Value Seekers
28,1,0,0,1,1.1960747889868169,0,1,0.5599440044731329,1,2.07553453711792,-0.7676511133117075,1.041998445955765,-0.8274822118265993,0.1767095896492654,3,High Spenders
29,0,0,1,1,-0.8360681198264284,1,1,0.7096180782750486,0,-1.0143589843057506,0.8965656806611455,1.041998445955765,1.4950108530408184,0.9158276801303812,1,Regular Members
30,1,1,1,1,-0.8360681198264284,1,1,0.9843791090325693,1,-1.5293412378763624,-0.6087611834748504,1.4281905265734955,1.3458599222695162,-1.0249383750637437,1,Regular Members
31,1,0,1,1,-0.8360681198264284,1,1,0.0909447506297587,1,-1.0143589843057506,1.005255705933649,0.6558063653380343,0.983636233253497,1.4643555711792597,1,Regular Members
32,0,1,1,0,-0.8360681198264284,1,1,0.5980540355849145,1,0.5305877764060849,-0.39903635379454067,1.8143826071912261,2.283380058546272,-1.0365597286876607,1,Regular Members
