Date,Open,High,Low,Close,Adj Close,MA30,Year,HL_PCT,PCT_change,Prev_Close,Rolling_Mean_7,Rolling_Std_7,Daily_Return,Volatility_14
2025-02-25,989.4,994.4,955.0,977.24,977.24,159.5021650877193,2025,4.031762924153737,-1.2290276935516442,161.20725384078216,160.8312211377649,3.876830290028114,-0.0005395815401522641,0.030520126202887823
2025-02-24,989.4,994.4,984.48,988.47,988.47,159.5021650877193,2025,1.0035711756553016,-0.09399636143116535,977.24,160.8312211377649,3.876830290028114,0.01149154762392035,0.030520126202887823
2025-02-21,989.4,994.4,999.39,988.47,988.47,159.5021650877193,2025,-0.5048205813024178,-0.09399636143116535,988.47,160.8312211377649,3.876830290028114,0.0,0.030520126202887823
2025-02-20,989.4,994.4,999.39,988.47,988.47,159.5021650877193,2025,-0.5048205813024178,-0.09399636143116535,988.47,160.8312211377649,3.876830290028114,0.0,0.030520126202887823
2025-02-19,989.4,994.4,999.39,988.47,988.47,159.5021650877193,2025,-0.5048205813024178,-0.09399636143116535,988.47,160.8312211377649,3.876830290028114,0.0,0.030520126202887823
2025-02-18,989.4,994.4,999.39,988.47,988.47,159.5021650877193,2025,-0.5048205813024178,-0.09399636143116535,988.47,160.8312211377649,3.876830290028114,0.0,0.030520126202887823
2025-02-14,989.4,994.4,999.39,988.47,988.47,159.5021650877193,2025,-0.5048205813024178,-0.09399636143116535,988.47,986.8657142857144,4.244541031893628,0.0,0.030520126202887823
2025-02-13,989.4,994.4,999.39,988.47,988.47,159.5021650877193,2025,-0.5048205813024178,-0.09399636143116535,988.47,988.47,0.0,0.0,0.030520126202887823
2025-02-12,989.4,994.4,998.35,988.47,988.47,159.5021650877193,2025,-0.39960747417726844,-0.09399636143116535,988.47,988.47,0.0,0.0,0.030520126202887823
2025-02-11,989.4,994.4,998.35,988.47,988.47,159.5021650877193,2025,-0.39960747417726844,-0.09399636143116535,988.47,988.47,0.0,0.0,0.030520126202887823
